N° dépôt;N° caisse;Commune;Année;N° cant;Lieu-dit;N° terrain;Récolement LM 2021;Matière ;Caractéristique;Description de l'objet ;Nombre;Notes;ramassage surface;Déblais;couche;situation;altitude;Localisation en mètre Nord;Localisation en mètre Sud;N° St;Déc.;UF;Date de découverte;Période culturelle;Datation;Année de restauration;Etat de conservation;N° Photos;A;Fiche ITMS oui;Fiche ITMS non;Publication;Dessin (+ échelle);Inventorier le, par Nom / date;Envoi restauration;Retour restauration;Remarques
Spira;6;CHE;2013;1852;BR;4020;x;lit;silex;fragment lame retouchée;;;;;4;;;;;;;C11;18.juin;;;;;;;;;;;;;;
Spira;6;CHE;2013;1853;BR;4056;x;lit;silex;éclat cortical retouché ?;;;;;4;sous st 360;;;;;;C11;20.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1854;BR;3936;x;lit;silex;éclat ;;;;;3;;;;;;;D11;23.mai;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1855;BR;4060;x;lit;silex;esquille ;;;;;4;sommet, proximité st 372;;;;;;D11;17.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1856;BR;4214;x;lit;silex;éclat cortical (feu?);;;;;2;sur st 382;;;;;;E26;14.août;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1857;BR;4220?;x;lit;silex;éclat cortical (feu?);;;;;4;sommet;;;;;;E26;20.août;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1858;BR;3882;x;lit;silex;grattoir;;;;;3;;;;;;;F11;09.avr;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1859;BR;3882;x;lit;silex;éclat cortical;;;;;3;;;;;;;F11;09.avr;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1860;BR;3882;x;lit;silex;lamelle;;;;;3;;;;;;;F11;09.avr;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1861;BR;4164;x;lit;silex;éclat;;;;;02.févr;proximité st 382;;;;;;F20;17.juil;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1862;BR;2;x;lit;silex;éclat cortical;;;;;;R II;;;;411;vidange;F25-26;28.août;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1863;BR;4248;x;lit;silex;éclat ou nucléus;;;;X;;;;;;;;F26;02.sept;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1864;BR;4230;x;lit;silex;éclat;;;;;3;base proximité sud st 315;;;;;;G11;29.avr;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1865;BR;52;x;lit;silex;éclat cortical ;;;;;;milieu 1/2 nord;;;;315,2;;G11;08.août;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1866;BR;4100;x;lit;silex;éclat retouché ?;;;;;02.avr;proximité st 321;;;;;;H11;11.juil;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1867;BR;12;x;lit;silex;éclat (feu?);;;;;;R III;;;;320;2;H11;18.juil;;;;;;;;;;;lm 2014-15;;;
