Abbreviation;Nom_complet;Définition
TO;Totale;L'observation est valable pour la totalité de la pièce
DI;Distale;L'observation est faite sur la partie distale de la pièce
ME;Mésiale;L'observation est faite sur la partie mésiale de la pièce
PX;Proximale;L'observation est faite sur la partie proximale de la pièce
BA;Basale;L'observation est faite sur la base de la pièce
