Abbreviation;Nom_complet;Definition
LI;Lisse;Le talon est lisse
CO;Cortical;Le talon présent du cortex
FA;Facetté;Le talon témoigne d'une préparation du plan de frappe en facètes
DI;Dièdre;Le talon témoigne d'une préparation par deux enlèvement et une crète
PU;Punctiforme;Le talon est en pointe
IN;indeterminé;La pièce ne permet pas de se prononcer sur la forme du talon
